年月日,曜日,平均気温(℃),最高気温(℃),最低気温(℃),エリア
2025年3月27日,木,3.1,5.5,0.4,札幌
2025年3月28日,金,3.8,5.8,1.5,札幌
2025年3月29日,土,2.7,6.4,0.1,札幌
2025年3月30日,日,0.5,4.2,-2.2,札幌
2025年3月31日,月,0.4,3.2,-3.1,札幌
2025年4月1日,火,4,8.8,-0.6,札幌
2025年4月2日,水,5,8.3,3,札幌
2025年4月3日,木,3.8,5.7,2.1,札幌
2025年4月4日,金,3.7,5.7,0.6,札幌
2025年4月5日,土,6.7,11.8,0.9,札幌
2025年4月6日,日,7.8,13.4,2.9,札幌
2025年4月7日,月,9.7,16.7,7,札幌
2025年4月8日,火,7.4,9.3,6.1,札幌
2025年4月9日,水,8.8,13.9,4.5,札幌
2025年4月10日,木,10.6,17,5,札幌
2025年4月11日,金,10.7,17.4,6.8,札幌
2025年4月12日,土,12,19,6.3,札幌
2025年4月13日,日,11.9,16.9,8,札幌
2025年4月14日,月,9.1,12.1,7.4,札幌
2025年4月15日,火,7.7,10.4,6.6,札幌
2025年4月16日,水,7.6,9.1,6.3,札幌
2025年4月17日,木,10,15.5,5.6,札幌
2025年4月18日,金,10.4,18.8,4,札幌
2025年4月19日,土,11,14.2,8.8,札幌
2025年4月20日,日,9.6,13.6,7.1,札幌
2025年4月21日,月,7.1,8.3,5.6,札幌
2025年4月22日,火,8.5,15.6,4,札幌
2025年4月23日,水,9.5,15,5.6,札幌
2025年4月24日,木,14.1,21.1,9.8,札幌
2025年4月25日,金,10.3,14.3,6.4,札幌
2025年4月26日,土,9.6,12.8,5.3,札幌
2025年4月27日,日,7.9,10.5,6.4,札幌
2025年4月28日,月,8.5,15.9,4.9,札幌
2025年4月29日,火,6.1,8.7,4.5,札幌
2025年4月30日,水,6.3,8.8,3.8,札幌
2025年5月1日,木,10.6,18.7,3.1,札幌
2025年5月2日,金,12.2,16.3,10,札幌
2025年5月3日,土,13.6,18.1,10.3,札幌
2025年5月4日,日,12.1,16.5,10.1,札幌
2025年5月5日,月,13.1,18,8.6,札幌
2025年5月6日,火,13,17.2,8.9,札幌
2025年5月7日,水,11.7,16.1,7.2,札幌
2025年5月8日,木,14.3,19.8,7.7,札幌
2025年5月9日,金,15.9,21,9.6,札幌
2025年5月10日,土,13.2,14.7,11.8,札幌
2025年5月11日,日,12.1,14.5,9.6,札幌
2025年5月12日,月,14.8,22,8.1,札幌
2025年5月13日,火,15.4,21.7,10.5,札幌
2025年5月14日,水,18.6,25.9,12.3,札幌
2025年5月15日,木,18,23.9,13.1,札幌
2025年5月16日,金,20.2,27.1,14.5,札幌
2025年5月17日,土,18.8,24.5,15.5,札幌
2025年5月18日,日,17.2,22.9,12.1,札幌
2025年5月19日,月,15.7,21.5,9.9,札幌
2025年5月20日,火,14.7,19.8,12,札幌
2025年5月21日,水,14.7,21.5,8.5,札幌
2025年5月22日,木,12.8,16.7,10.7,札幌
2025年5月23日,金,12.1,15.8,10.7,札幌
2025年5月24日,土,14.3,19.5,10.3,札幌
2025年5月25日,日,11.4,12.8,10.7,札幌
2025年5月26日,月,11.9,14.6,9.6,札幌
2025年5月27日,火,15,22,8,札幌
2025年5月28日,水,17.6,24.2,10.8,札幌
2025年5月29日,木,18.7,26.4,12.2,札幌
2025年5月30日,金,18.7,26.9,13.8,札幌
2025年5月31日,土,19.2,24.8,15.7,札幌
2025年6月1日,日,16.5,22.8,12.2,札幌
2025年6月2日,月,14.1,18,12,札幌
2025年6月3日,火,16.2,20.7,12.8,札幌
2025年6月4日,水,16.3,21.2,12.7,札幌
2025年6月5日,木,15.4,19.2,12.6,札幌
2025年6月6日,金,19.8,24.2,14.5,札幌
2025年6月7日,土,20.6,24.9,17.5,札幌
2025年6月8日,日,19.4,23.3,15,札幌
2025年6月9日,月,21,29.4,13,札幌
2025年6月10日,火,20.6,28.4,15.8,札幌
2025年6月11日,水,20.4,25.7,16.9,札幌
2025年6月12日,木,15.3,18.3,13.4,札幌
2025年6月13日,金,18.2,25.4,11.8,札幌
2025年6月14日,土,20.9,27.2,16.2,札幌
2025年6月15日,日,19.9,24,16.9,札幌
2025年6月16日,月,19.6,24.3,16.5,札幌
2025年6月17日,火,23.3,28.1,18.1,札幌
2025年6月18日,水,23.4,29,19.1,札幌
2025年6月19日,木,22.4,30.3,18.1,札幌
2025年6月20日,金,23.6,30.9,18.5,札幌
2025年6月21日,土,21.9,25.2,19.3,札幌
2025年6月22日,日,21.2,23.3,19.6,札幌
2025年6月23日,月,23.4,28.2,18.4,札幌
2025年6月24日,火,24.9,30.2,18.6,札幌
2025年6月25日,水,26,33.1,20.1,札幌
2025年6月26日,木,24.2,30.2,20.7,札幌
2025年6月27日,金,20,22.8,17.8,札幌
2025年6月28日,土,20.8,27.6,17.6,札幌
2025年6月29日,日,23.7,30.2,17.4,札幌
2025年6月30日,月,23.8,28.8,21.2,札幌
2025年7月1日,火,25.1,32.3,21.1,札幌
2025年7月2日,水,25.4,28.8,22.8,札幌
2025年7月3日,木,25.8,30,22.8,札幌
2025年7月4日,金,26.1,29.5,21.9,札幌
2025年7月5日,土,25.7,33,21.6,札幌
2025年7月6日,日,27,32.2,22.1,札幌
2025年7月7日,月,27.1,32.4,22.8,札幌
2025年7月8日,火,24.8,29.2,20.8,札幌
2025年7月9日,水,24.5,30.3,19.5,札幌
2025年7月10日,木,23,27.5,20,札幌
2025年7月11日,金,20.6,25.3,17.3,札幌
2025年7月12日,土,20,25.6,16.2,札幌
2025年7月13日,日,21.4,26.5,16,札幌
2025年7月14日,月,24.5,28.5,19.7,札幌
2025年7月15日,火,25.7,30.2,23.1,札幌
2025年7月16日,水,25.5,30.6,23.1,札幌
2025年7月17日,木,28.5,33.9,24.3,札幌
2025年7月18日,金,26.6,30.2,23.9,札幌
2025年7月19日,土,25.6,27.8,23.1,札幌
2025年7月20日,日,27.4,30.8,23.5,札幌
2025年7月21日,月,29.2,32.9,25.6,札幌
2025年7月22日,火,29.8,33.5,25.4,札幌
2025年7月23日,水,29.8,34.9,24.9,札幌
2025年7月24日,木,28.5,35.3,23.9,札幌
2025年7月25日,金,28.4,35.7,23.6,札幌
2025年7月26日,土,25.7,27.6,23.7,札幌
2025年7月27日,日,25.5,29.5,23.2,札幌
2025年7月28日,月,24.7,27.6,23.2,札幌
2025年7月29日,火,25.8,28.6,22.9,札幌
2025年7月30日,水,27.3,32.7,23.4,札幌
2025年7月31日,木,26.3,30.1,23.3,札幌
2025年8月1日,金,26.6,30.7,23.8,札幌
2025年8月2日,土,27.2,31.8,24,札幌
2025年8月3日,日,27.2,31.2,24.7,札幌
2025年8月4日,月,26.7,30,23.8,札幌
2025年8月5日,火,26.1,29,24.3,札幌
2025年8月6日,水,25.3,30.2,22.3,札幌
2025年8月7日,木,23.8,26.5,21.6,札幌
2025年8月8日,金,22.7,26.6,20.9,札幌
2025年8月9日,土,23.3,27.2,20.1,札幌
2025年8月10日,日,24.7,28,21.1,札幌
2025年8月11日,月,25.5,31.5,20.7,札幌
2025年8月12日,火,25.5,29.7,22.3,札幌
2025年8月13日,水,25.2,29.2,20.8,札幌
2025年8月14日,木,25,28.9,21.2,札幌
2025年8月15日,金,26.2,30.1,21.9,札幌
2025年8月16日,土,27.1,33.4,19.8,札幌
2025年8月17日,日,24.2,27.3,20.9,札幌
2025年8月18日,月,24.7,29.3,19.7,札幌
2025年8月19日,火,23.8,29.2,18.7,札幌
2025年8月20日,水,26.4,33.1,21.7,札幌
2025年8月21日,木,23.7,27.3,19.2,札幌
2025年8月22日,金,23.2,27.3,19.9,札幌
2025年8月23日,土,24.4,30.1,21.1,札幌
2025年8月24日,日,25,28.9,20.4,札幌
2025年8月25日,月,24.9,28.2,23,札幌
2025年8月26日,火,25.2,29.1,22.8,札幌
2025年8月27日,水,24.4,30.1,20.4,札幌
2025年8月28日,木,21.7,25.1,19.1,札幌
2025年8月29日,金,21.8,24.5,20.2,札幌
2025年8月30日,土,20.6,22.9,19.4,札幌
2025年8月31日,日,23.3,26.9,19.3,札幌
2025年9月1日,月,24.6,27.7,22,札幌
2025年9月2日,火,22.8,24.3,21.3,札幌
2025年9月3日,水,23.6,27.3,19.9,札幌
2025年9月4日,木,22.7,28.2,17.8,札幌
2025年9月5日,金,23.3,28.2,18.6,札幌
2025年9月6日,土,24.1,28.6,18.7,札幌
2025年9月7日,日,22.6,25.2,20.1,札幌
2025年9月8日,月,22.9,28.2,17.8,札幌
2025年9月9日,火,23.2,26.5,20.1,札幌
2025年9月10日,水,23.6,27.2,19.2,札幌
2025年9月11日,木,22.2,28.8,18.3,札幌
2025年9月12日,金,21.8,27.9,16.3,札幌
2025年9月13日,土,20.3,23.8,17,札幌
2025年9月14日,日,20.9,24.2,16.9,札幌
2025年9月15日,月,21.8,28.5,15.8,札幌
2025年9月16日,火,22.9,28.6,17.9,札幌
2025年9月17日,水,21.4,24.3,18.7,札幌
2025年9月18日,木,19.1,22.5,16.7,札幌
2025年9月19日,金,17.6,22.8,13.7,札幌
2025年9月20日,土,16,20.6,11.7,札幌
2025年9月21日,日,15.7,19.1,12.9,札幌
2025年9月22日,月,16.3,22.3,10.7,札幌
2025年9月23日,火,17.8,23.5,13,札幌
2025年9月24日,水,18.6,23.7,13,札幌
2025年9月25日,木,18.9,21.6,16.2,札幌
2025年9月26日,金,19.6,25.7,15.6,札幌
2025年9月27日,土,19.5,24.7,14.3,札幌
2025年9月28日,日,20.3,25.7,14.2,札幌
2025年9月29日,月,19.6,22.9,16.1,札幌
2025年9月30日,火,18.6,23.9,13.8,札幌
2025年10月1日,水,18.9,21.6,16.4,札幌
2025年10月2日,木,18.6,24.4,13.8,札幌
2025年10月3日,金,20.3,28.2,14.3,札幌
2025年10月4日,土,19.8,24.7,14.7,札幌
2025年10月5日,日,21,26.5,18.1,札幌
2025年10月6日,月,15.8,19.1,11.7,札幌
2025年10月7日,火,13.5,18.5,7.9,札幌
2025年10月8日,水,17.2,23.4,13.7,札幌
2025年10月9日,木,11.6,15.3,8.9,札幌
2025年10月10日,金,11.4,15.6,7.4,札幌
2025年10月11日,土,12.3,15.1,9.5,札幌
2025年10月12日,日,12.9,15.4,10.3,札幌
2025年10月13日,月,12.8,15.4,8.9,札幌
2025年10月14日,火,10.6,16.2,5.4,札幌
2025年10月15日,水,11.8,15.3,8.4,札幌
2025年10月16日,木,12.8,17.6,7.6,札幌
2025年10月17日,金,13.8,17.1,11.7,札幌
2025年10月18日,土,12.6,16.9,9.4,札幌
2025年10月19日,日,9.7,12.7,7.6,札幌
2025年10月20日,月,7,10.1,4.3,札幌
2025年10月21日,火,6.8,10.3,3.8,札幌
2025年10月22日,水,7.5,10.7,4.7,札幌
2025年10月23日,木,6.6,10.4,3,札幌
2025年10月24日,金,5.1,8.3,2.5,札幌
2025年10月25日,土,7.3,12.5,1.9,札幌
2025年10月26日,日,9.9,14.5,6.2,札幌
2025年10月27日,月,9.8,15.1,2.8,札幌
2025年10月28日,火,3.5,6.7,1.5,札幌
2025年10月29日,水,6.1,10.5,2.6,札幌
2025年10月30日,木,8.7,12.8,1.8,札幌
2025年10月31日,金,11.7,14.6,10.1,札幌
2025年11月1日,土,9.3,10.1,7.1,札幌
2025年11月2日,日,7.1,9.7,5.3,札幌
2025年11月3日,月,6.4,10,3.5,札幌
2025年11月4日,火,7.4,11.7,1.5,札幌
2025年11月5日,水,10.6,16.1,5.6,札幌
2025年11月6日,木,8.4,14.1,3.5,札幌
2025年11月7日,金,4.9,9.4,0.5,札幌
2025年11月8日,土,0,1.9,-2.1,札幌
2025年11月9日,日,5.4,9.7,0.4,札幌
2025年11月10日,月,4.1,8.8,0.8,札幌
2025年11月11日,火,2.3,4.3,0.5,札幌
2025年11月12日,水,4.5,8.3,1.9,札幌
2025年11月13日,木,9.3,13.9,4.9,札幌
2025年11月14日,金,4.6,6,2.2,札幌
2025年11月15日,土,5.2,8.8,2.8,札幌
2025年11月16日,日,6,10.3,-0.1,札幌
2025年11月17日,月,5.2,14.1,-0.6,札幌
2025年11月18日,火,-0.4,2.3,-2.2,札幌
2025年11月19日,水,1.7,3.4,-1.2,札幌
2025年11月20日,木,6,10.9,1.1,札幌
2025年11月21日,金,4,8.1,0.5,札幌
2025年11月22日,土,3.2,6,-0.5,札幌
2025年11月23日,日,7.5,10.9,3.7,札幌
2025年11月24日,月,6.9,12.8,2.5,札幌
2025年11月25日,火,5.4,9.8,0.9,札幌
2025年11月26日,水,5.9,7.1,3.2,札幌
2025年11月27日,木,5.2,9.3,1.6,札幌
2025年11月28日,金,7.6,11.3,2,札幌
2025年11月29日,土,2.1,5.1,0.3,札幌
2025年11月30日,日,6.5,12.3,1.8,札幌
2025年12月1日,月,6.7,14.7,1.5,札幌
2025年12月2日,火,2.1,5.3,-0.8,札幌
2025年12月3日,水,-0.6,2.4,-3.6,札幌
2025年12月4日,木,-3.5,-2.2,-5.4,札幌
2025年12月5日,金,-1.2,2,-4.7,札幌
2025年12月6日,土,3.1,6.4,-1.4,札幌
2025年12月7日,日,5.8,9.3,1.8,札幌
2025年12月8日,月,1.5,4.5,-0.5,札幌
2025年12月9日,火,-1.7,-0.2,-3.5,札幌
2025年12月10日,水,-1.2,1.3,-3.3,札幌
2025年12月11日,木,-1.5,2.5,-4.6,札幌
2025年12月12日,金,-5.5,-4.4,-6.8,札幌
2025年12月13日,土,-2,0.5,-5.2,札幌
2025年12月14日,日,-0.5,1.2,-1.9,札幌
2025年12月15日,月,1.5,3.6,0,札幌
2025年12月16日,火,-0.7,1.5,-4.1,札幌
2025年12月17日,水,-3,-1,-4.7,札幌
2025年12月18日,木,-2.8,-0.3,-4.8,札幌
2025年12月19日,金,0.4,4.7,-6,札幌
2025年12月20日,土,6.4,8.7,3.8,札幌
2025年12月21日,日,3,7,0.1,札幌
2025年12月22日,月,-1.5,0.2,-4.2,札幌
2025年12月23日,火,-1.6,1.5,-6.8,札幌
2025年12月24日,水,4,7,0.9,札幌
2025年12月25日,木,2.5,3.7,1.2,札幌
2025年12月26日,金,-2.1,2,-7.1,札幌
2025年12月27日,土,-6.4,-4.9,-8.6,札幌
2025年12月28日,日,-2.5,1.6,-5.6,札幌
2025年12月29日,月,2.9,5.6,-1.9,札幌
2025年12月30日,火,0.8,3.3,-2,札幌
2025年12月31日,水,-4.4,-1.6,-7.2,札幌
2026年1月1日,木,-7.7,-5.5,-8.8,札幌
2026年1月2日,金,-2.8,2.1,-7.5,札幌
2026年1月3日,土,-1.2,0.3,-3.3,札幌
2026年1月4日,日,-3.3,-1.2,-5.5,札幌
2026年1月5日,月,-6.5,-4.6,-9.8,札幌
2026年1月6日,火,-6.2,-3.2,-10.3,札幌
2026年1月7日,水,-2.9,1.1,-9.4,札幌
2026年1月8日,木,-3.4,0,-5.6,札幌
2026年1月9日,金,-4.3,-1.3,-9,札幌
2026年1月10日,土,0.5,4.1,-3.6,札幌
2026年1月11日,日,1.9,5.4,-2.8,札幌
2026年1月12日,月,-3.9,-2.1,-5.6,札幌
2026年1月13日,火,-3.8,-1.1,-6.4,札幌
2026年1月14日,水,-7.5,-6.4,-8.5,札幌
2026年1月15日,木,-4.7,-1.3,-7.5,札幌
2026年1月16日,金,-3.3,1.4,-6.8,札幌
2026年1月17日,土,-2.8,0.9,-6.2,札幌
2026年1月18日,日,-3.1,-0.1,-5.5,札幌
2026年1月19日,月,-3.8,0.1,-7,札幌
2026年1月20日,火,-5.1,-2.6,-7.8,札幌
2026年1月21日,水,-4.5,-2.4,-5.9,札幌
2026年1月22日,木,-4.7,-1.5,-6.8,札幌
2026年1月23日,金,-6.1,-3.1,-9.3,札幌
2026年1月24日,土,-6.7,-2.3,-10.9,札幌
2026年1月25日,日,-5.5,-3.8,-9.3,札幌
2026年1月26日,月,-7,-3.5,-12.3,札幌
2026年1月27日,火,-3.5,-0.9,-6.6,札幌
2026年1月28日,水,-4.2,-1.7,-6.8,札幌
2026年1月29日,木,-3.9,-1.1,-6.9,札幌
2026年1月30日,金,-3.4,0,-8.7,札幌
2026年1月31日,土,-1.7,0.1,-3.6,札幌
2026年2月1日,日,-2.4,-0.7,-3.9,札幌
2026年2月2日,月,-3.2,-0.2,-5.9,札幌
2026年2月3日,火,-3.7,1.5,-9,札幌
2026年2月4日,水,1.2,5,-2.3,札幌
2026年2月5日,木,-0.1,2.4,-3.1,札幌
2026年2月6日,金,-4.1,1.3,-8.5,札幌
2026年2月7日,土,-6.8,-3.1,-10,札幌
2026年2月8日,日,-6.7,-1.3,-11.1,札幌
2026年2月9日,月,-4.7,-1.7,-8.3,札幌
2026年2月10日,火,-0.1,3.1,-5.6,札幌
2026年2月11日,水,0.1,1.9,-2.6,札幌
2026年2月12日,木,-3,-0.3,-4.8,札幌
2026年2月13日,金,-1.7,1.2,-4.8,札幌
2026年2月14日,土,0.7,3.8,-4.3,札幌
2026年2月15日,日,2.8,5.8,0.6,札幌
2026年2月16日,月,-1.9,0.8,-3.3,札幌
2026年2月17日,火,0,3.6,-4.9,札幌
2026年2月18日,水,1.5,3.2,-1,札幌
2026年2月19日,木,-1.6,1.6,-3.2,札幌
2026年2月20日,金,-1.5,2,-7.4,札幌
2026年2月21日,土,4.3,7.9,-0.1,札幌
2026年2月22日,日,6.1,9.3,3.5,札幌
2026年2月23日,月,4.2,7.3,0.2,札幌
2026年2月24日,火,-0.4,1.6,-3,札幌
2026年2月25日,水,-0.3,3.4,-4.5,札幌
2026年2月26日,木,1.2,5.1,-3.6,札幌
2026年2月27日,金,3.2,5.1,0.9,札幌
2026年2月28日,土,3.6,6.8,2.1,札幌
2026年3月1日,日,0.4,2.2,-0.5,札幌
2026年3月2日,月,0.8,2.2,-0.1,札幌
2026年3月3日,火,1.1,4,-1.4,札幌
2026年3月4日,水,1.3,2.3,0.6,札幌
2026年3月5日,木,2.8,5.7,0.3,札幌
2026年3月6日,金,3,5,0.9,札幌
2026年3月7日,土,2.6,4.2,1.2,札幌
2026年3月8日,日,0.9,2.8,-0.7,札幌
2026年3月9日,月,0.1,3.4,-3,札幌
2026年3月10日,火,0.1,2.9,-2.3,札幌
2026年3月11日,水,0.7,4.4,-3.5,札幌
2026年3月12日,木,1.6,3.6,-1.5,札幌
2026年3月13日,金,2.9,4.9,1.1,札幌
2026年3月14日,土,3.7,5.2,2.6,札幌
2026年3月15日,日,4.4,6.9,1.7,札幌
2026年3月16日,月,3.9,6.8,0.9,札幌
2026年3月17日,火,2.8,6.3,-0.6,札幌
2026年3月18日,水,4,8.5,-1.4,札幌
2026年3月19日,木,4.1,6.5,1.4,札幌
2026年3月20日,金,3.9,8.5,0.9,札幌
2026年3月21日,土,1.7,3.9,-0.8,札幌
2026年3月22日,日,5.5,10.3,-0.8,札幌
2026年3月23日,月,5.8,7.9,4.4,札幌
2026年3月24日,火,5.2,8.4,2.3,札幌
2026年3月25日,水,6,12.4,-0.4,札幌
2026年3月26日,木,6.7,11.6,1.9,札幌
2026年3月27日,金,5.9,8.8,4.3,札幌
2026年3月28日,土,6.6,11.7,3.9,札幌
2026年3月29日,日,6.4,10.5,3.1,札幌
2026年3月30日,月,7.6,12.8,3.3,札幌
2026年3月31日,火,8.1,12.2,5.6,札幌
2026年4月1日,水,8.3,12.7,5.3,札幌
2026年4月2日,木,7.5,10.5,5.1,札幌
2026年4月3日,金,8.4,12.3,5.7,札幌
2026年4月4日,土,10.4,14.9,6.1,札幌
2026年4月5日,日,8,12.7,5.1,札幌
2026年4月6日,月,7.7,13.8,3.8,札幌
2026年4月7日,火,6.4,13.3,2.3,札幌
2026年4月8日,水,8.4,13.4,2,札幌
2026年4月9日,木,12,16.3,6.7,札幌
2026年4月10日,金,11.8,15.2,9.6,札幌
2026年4月11日,土,9,13.1,3.6,札幌
2026年4月12日,日,6.8,10.3,3.5,札幌
2026年4月13日,月,9.5,14.4,5.2,札幌
2026年4月14日,火,8.8,13.5,4.7,札幌
2026年4月15日,水,7.8,12.7,3.1,札幌
2026年4月16日,木,10,16.5,5.1,札幌
2026年4月17日,金,10.5,16.2,5.6,札幌
2026年4月18日,土,13.3,20,7.9,札幌
2026年4月19日,日,11.5,15.1,7.6,札幌
2026年4月20日,月,10.6,15.7,6.6,札幌
2026年4月21日,火,10.6,14,8.5,札幌
2026年4月22日,水,9,13.1,5.6,札幌
2026年4月23日,木,8,12.1,4.5,札幌
2026年4月24日,金,6.2,9.5,2.8,札幌
2026年4月25日,土,7.9,13.9,2.2,札幌
2026年4月26日,日,11.8,19.8,6.7,札幌
2026年4月27日,月,11.9,18.8,8.4,札幌
2026年4月28日,火,7.8,10,6.2,札幌
2026年4月29日,水,8.8,13.2,5.7,札幌
2026年4月30日,木,12.2,18.8,5.2,札幌
2026年5月1日,金,12.9,19.2,9,札幌
2026年5月2日,土,10.8,13.6,8,札幌
2026年5月3日,日,11.7,17.8,6,札幌
2026年5月4日,月,9.2,13.1,3.4,札幌
2026年5月5日,火,13.3,18.4,4.6,札幌
2026年5月6日,水,18.4,23.8,13,札幌
2026年5月7日,木,15.2,23.1,11.7,札幌
2026年5月8日,金,12.6,15.2,11.2,札幌
2026年5月9日,土,9.7,13.1,7.2,札幌
2026年5月10日,日,16.3,23.4,7.3,札幌
2026年5月11日,月,17.3,21.3,12.6,札幌
2026年5月12日,火,18.3,24.9,12.5,札幌
2026年5月13日,水,14.2,22.2,10.7,札幌
2026年5月14日,木,12.6,18.7,8.5,札幌
2026年5月15日,金,14.1,21.3,8,札幌
2026年5月16日,土,15.4,23.2,11.2,札幌
2026年5月17日,日,12.7,16.3,10,札幌
2026年5月18日,月,14.2,21,11.7,札幌
2026年5月19日,火,12.3,16,11.2,札幌
2026年5月20日,水,14.1,18.2,11.4,札幌
2026年5月21日,木,14.6,19.2,12,札幌
2026年5月22日,金,13.8,21.7,9,札幌
2026年5月23日,土,13.9,22.3,7.5,札幌
2026年5月24日,日,11.9,14.7,9.7,札幌
2026年5月25日,月,16,22.6,11.8,札幌
2026年5月26日,火,17.6,25.3,12.7,札幌
2026年5月27日,水,19.2,25.4,14.8,札幌
2026年5月28日,木,19.4,23.4,16.3,札幌
2026年5月29日,金,16.3,18.5,13.4,札幌
2026年5月30日,土,16.4,20.7,13.3,札幌
2026年5月31日,日,19.6,25.6,11.7,札幌
2026年6月1日,月,23,30.6,13.5,札幌
